Epoch,Train Loss,Validation Loss
1,13.790042359704916,14.319938190055616
2,13.462946565854066,14.8895027613399
3,13.164195426626701,14.440052446692881
4,12.93700754229044,14.182909917349766
5,12.74218899459508,14.478390144579338
6,12.565039965458688,14.354494786021686
7,12.343640507301155,14.841545519202647
8,12.36772195486664,14.621275152822937
9,12.352400007620023,14.364670623432506
10,12.18946896605409,14.757997647680417
11,12.125688364050982,14.214749237503668
12,12.010687774316423,14.461935982559666
13,11.86616289236642,14.486345033452968
14,11.65996411873426,14.517959765713623
15,11.793028300897234,14.243515207309915
16,11.873659408850477,14.2623210266383
17,11.911954323680416,14.189127300724838
18,11.745530186360972,14.419461209364611
19,11.688431851092101,14.1118844735502
20,11.885033413853948,14.446961908629447
21,11.753926526948895,14.54853230293351
22,11.698469378355611,14.40602278227758
23,11.679412862469006,14.642998779662932
24,11.719408432183238,14.365548632361673
25,11.71318835812497,14.185651030203308
26,11.66585892404435,14.432543068221122
27,11.676333606932205,14.86949111476089
28,11.694266435038836,14.18328669576934
29,11.670869480667776,14.387319201170795
30,11.574121741890218,14.33027436034848
31,11.539307359326093,14.45198902939305
32,11.726918067546249,14.348337594908898
33,11.609523950973687,14.412493908044064
34,11.496159348873734,14.289724877386382
35,11.579700511314966,14.625455904488613
36,11.556274052300205,15.003273236631143
37,11.542578086343115,14.52374282027736
38,11.398337013459619,14.543995353910658
39,11.421667796338914,14.430499387509895
40,11.504272637339685,14.302415481721512
41,11.575846113910565,14.362251033686627
42,11.448592407165924,14.315700555088544
43,11.479918322122167,14.520932043441618
44,11.535012861896801,14.21889328956604
45,11.47839711994105,14.2310840288798
46,11.452073681216708,14.659832072980477
47,11.42981323479228,14.287008150659426
48,11.531273362609003,14.260776079062259
49,11.535802617927507,14.45005470815331
50,11.597577595297311,14.60974565178457
51,11.515176951540688,14.449181506128022
52,11.572703900364782,14.54752000172933
53,11.600946426736137,14.387953572803074
54,11.6014664820853,14.300535770377728
55,11.425492076515463,14.320356434041804
56,11.372524571556577,14.654891929241142
57,11.533010054185901,14.284188169421572
58,11.51104328673699,14.24498857633032
59,11.56496166907294,14.798377757120614
60,11.519302783673899,14.392971383200752
61,11.61491224255865,14.184883223639595
62,11.492681761697538,14.277951722193245
63,11.56482080986045,14.24483677112695
64,11.475552015910948,14.400778585010105
65,11.548004684420679,14.716167801558369
66,11.47853637292895,14.385447584017358
67,11.350266825257009,14.416273642067958
68,11.283326645462498,14.34153682535345
69,11.487893420836828,14.702334069242381
70,11.355067146306782,14.348919285668266
71,11.40747987190423,15.059051277661565
72,11.441093788670667,14.759682347076108
73,11.327843608883764,14.475767492043852
74,11.40977128323792,14.542473215045352
75,11.395955070939367,14.762420076312441
76,11.352195659124781,14.227670765886403
77,11.518474267397313,15.282067794992466
78,11.359545578157281,14.390483451612068
79,11.267886141821139,14.412203262550662
80,11.410060566284754,14.256537276084977
81,11.390453056792992,15.732543232465032
82,11.365895097655368,14.388912757237753
83,11.441570300931875,15.0263931004688
84,11.448945972960809,14.315521023490213
85,11.395626428499387,14.319417698214753
86,11.407314089681371,14.346482471986251
87,11.53832727705123,14.544770972897307
88,11.384141216732862,14.248334658266318
89,11.407819171861417,14.518168208575007
90,11.348541485780926,14.386135053152989
91,11.501883044408237,14.49100018029261
92,11.303331799245294,14.524621192855065
93,11.443124681194394,14.428952441071019
94,11.393445840460716,14.583180817690762
95,11.363696157587746,14.466283017938787
96,11.442725508543797,14.304891143182312
97,11.293358365924373,14.195696828341243
98,11.257222718586123,14.441238148043855
99,11.240205084657394,14.486615527759898
100,11.37784345646125,14.604446512280088
